timestamp,p_yes,p_no,edge,vol,mispricing,q_yes,q_no,imbalance,cost_yes,cost_no,exposure,locked_profit,profit_if_up,profit_if_down,worst_case_pnl,decision_side,decision_usd,act,reason,scale_cooldown,order_in_flight,time_remaining
1765652610.3422346,0.43,0.58,-0.010000000000000009,0.14999999999999997,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,689.6577653884888
1765652615.1090796,0.43,0.58,-0.010000000000000009,0.14999999999999997,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,684.8909204006195
1765652617.1181645,0.43,0.58,-0.010000000000000009,0.14999999999999997,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,682.8818354606628
1765652619.1280644,0.43,0.58,-0.010000000000000009,0.14999999999999997,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,680.8719356060028
1765652621.13761,0.44,0.58,-0.020000000000000018,0.13999999999999996,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,678.8623900413513
1765652623.146284,0.43278688524590164,0.58,-0.012786885245901658,0.14721311475409832,0.012786885245901658,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.026 < 0.005,0,0,676.8537158966064
1765652625.1537068,0.44,0.58,-0.020000000000000018,0.13999999999999996,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,674.8462932109833
1765652627.1692288,0.44,0.57,-0.010000000000000009,0.12999999999999995,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,672.8307712078094
1765652629.1797311,0.44,0.57,-0.010000000000000009,0.12999999999999995,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,670.8202688694
1765652631.2009654,0.44,0.57,-0.010000000000000009,0.12999999999999995,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,668.7990345954895
1765652633.211713,0.44,0.58,-0.020000000000000018,0.13999999999999996,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,666.7882869243622
1765652635.2285395,0.43278688524590164,0.58,-0.012786885245901658,0.14721311475409832,0.012786885245901658,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.026 < 0.005,0,0,664.7714605331421
1765652637.2386622,0.43,0.58,-0.010000000000000009,0.14999999999999997,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,662.7613377571106
1765652639.2466352,0.44,0.58,-0.020000000000000018,0.13999999999999996,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,660.7533648014069
1765652700.5916264,0.44,0.58,-0.020000000000000018,0.13999999999999996,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,599.4083735942841
1765652711.9295073,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,588.0704927444458
1765652716.3728483,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,583.6271517276764
1765652718.381416,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,581.6185839176178
1765652720.390709,0.41,0.61,-0.020000000000000018,0.2,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,579.6092910766602
1765652722.4000268,0.42,0.61,-0.030000000000000027,0.19,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.060 < 0.005,0,0,577.5999732017517
1765652724.4112248,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,575.5887751579285
1765652726.4194028,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,573.5805971622467
1765652728.430055,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,571.5699450969696
1765652730.4386518,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,569.5613481998444
1765652732.447318,0.43,0.59,-0.020000000000000018,0.15999999999999998,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,567.5526819229126
1765652734.4566379,0.43,0.6,-0.030000000000000027,0.16999999999999998,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.060 < 0.005,0,0,565.5433621406555
1765652736.4666188,0.43,0.6,-0.030000000000000027,0.16999999999999998,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.060 < 0.005,0,0,563.5333812236786
1765652738.4778993,0.43,0.6,-0.030000000000000027,0.16999999999999998,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.060 < 0.005,0,0,561.522100687027
1765652740.495804,0.4131147540983606,0.6,-0.013114754098360493,0.18688524590163935,0.013114754098360493,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.026 < 0.005,0,0,559.5041959285736
1765652742.5047433,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,557.4952566623688
1765652744.514811,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,555.485188961029
1765652746.5238707,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,553.4761292934418
1765652748.5461574,0.42,0.6,-0.020000000000000018,0.18,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,551.4538426399231
1765652750.5557835,0.41,0.6,-0.010000000000000009,0.19,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,549.4442164897919
1765652752.5663326,0.41,0.61,-0.020000000000000018,0.2,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,547.4336674213409
1765652754.57595,0.41,0.62,-0.030000000000000027,0.21000000000000002,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.060 < 0.005,0,0,545.4240500926971
1765652756.5857854,0.4,0.61,-0.010000000000000009,0.20999999999999996,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,543.4142146110535
1765652756.9885323,0.39,0.62,-0.010000000000000009,0.22999999999999998,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,543.0114676952362
1765652761.7055852,0.39,0.62,-0.010000000000000009,0.22999999999999998,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,538.2944147586823
1765652763.715272,0.39,0.62,-0.010000000000000009,0.22999999999999998,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,536.2847280502319
