timestamp,p_yes,p_no,edge,vol,mispricing,q_yes,q_no,imbalance,cost_yes,cost_no,exposure,locked_profit,profit_if_up,profit_if_down,worst_case_pnl,decision_side,decision_usd,act,reason,scale_cooldown,order_in_flight
1765562430.5199914,0.48,0.53,-0.010000000000000009,0.050000000000000044,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_signal e=-0.0100,0,0
1765562434.1963458,0.4699999999999999,0.54,-0.010000000000000009,0.07000000000000012,0.010000000000000009,5.0,0.0,5.0,2.4999999999999996,0.0,2.4999999999999996,-2.4999999999999996,2.5000000000000004,-2.4999999999999996,-2.4999999999999996,HOLD,0.0,HOLD,hold:cooldown_live,0,0
1765562438.2091415,0.5,0.51,-0.010000000000000009,0.010000000000000009,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562440.2226734,0.4699999999999999,0.54,-0.010000000000000009,0.07000000000000012,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562442.234237,0.4699999999999999,0.5451481811874318,-0.015148181187431664,0.07514818118743188,0.015148181187431664,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0151,0,0
1765562444.2443833,0.4797281540460406,0.55,-0.029728154046040567,0.07027184595395947,0.029728154046040567,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0297,0,0
1765562446.2531483,0.46,0.55,-0.010000000000000009,0.09000000000000002,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562448.2639139,0.46229508196721314,0.55,-0.012295081967213184,0.0877049180327869,0.012295081967213184,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0123,0,0
1765562450.2741158,0.45000000000000007,0.56,-0.010000000000000231,0.10999999999999999,0.010000000000000231,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562452.2835343,0.43,0.58,-0.010000000000000009,0.14999999999999997,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562454.2930264,0.4357442313405737,0.58,-0.015744231340573567,0.14425576865942624,0.015744231340573567,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0157,0,0
1765562456.308386,0.46576317236471837,0.57,-0.035763172364718265,0.10423682763528158,0.035763172364718265,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0358,0,0
1765562458.3197763,0.48,0.53,-0.010000000000000009,0.050000000000000044,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562460.3311822,0.52,0.49000000000000005,-0.010000000000000009,0.02999999999999997,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562462.342748,0.55,0.46,-0.010000000000000009,0.09000000000000002,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562464.3592527,0.59,0.43,-0.020000000000000018,0.15999999999999998,0.020000000000000018,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0200,0,0
1765562466.368784,0.59,0.42,-0.010000000000000009,0.16999999999999998,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562468.3774226,0.53,0.48,-0.010000000000000009,0.050000000000000044,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562470.4059834,0.53,0.48,-0.010000000000000009,0.050000000000000044,0.010000000000000009,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0100,0,0
1765562472.4150636,0.52,0.5,-0.020000000000000018,0.020000000000000018,0.020000000000000018,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0200,0,0
1765562474.4256659,0.53,0.4897551224387806,-0.019755122438780637,0.040244877561219417,0.019755122438780637,5.0,5.0,0.0,2.4999999999999996,2.7,5.199999999999999,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,HOLD,0.0,HOLD,hold:scale_blocked:edge_too_low e=-0.0198,0,0
