timestamp,p_yes,p_no,edge,vol,mispricing,q_yes,q_no,imbalance,cost_yes,cost_no,exposure,locked_profit,profit_if_up,profit_if_down,worst_case_pnl,decision_side,decision_usd,act,reason,scale_cooldown,order_in_flight,time_remaining
1765653352.1643214,0.5,0.52,-0.020000000000000018,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,847.8356785774231
1765653357.0805304,0.5,0.52,-0.020000000000000018,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,842.9194695949554
1765653359.0898163,0.5,0.52,-0.020000000000000018,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,840.9101836681366
1765653420.16496,0.35000000000000003,0.66,-0.010000000000000009,0.31,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,779.8350400924683
1765653422.1760504,0.34,0.67,-0.010000000000000009,0.33,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,777.8239495754242
1765653424.1851423,0.33,0.68,-0.010000000000000009,0.35000000000000003,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,775.8148577213287
1765653426.1941197,0.33,0.68,-0.010000000000000009,0.35000000000000003,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,773.8058803081512
1765653428.2028022,0.33,0.68,-0.010000000000000009,0.35000000000000003,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,771.7971978187561
1765653430.2111466,0.34,0.68,-0.020000000000000018,0.34,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,769.7888534069061
1765653432.219613,0.3346017582994358,0.68,-0.014601758299435774,0.34539824170056427,0.014601758299435774,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.029 < 0.005,0,0,767.7803869247437
1765653434.2283518,0.3346017582994358,0.68,-0.014601758299435774,0.34539824170056427,0.014601758299435774,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.029 < 0.005,0,0,765.7716481685638
1765653436.237613,0.33,0.68,-0.010000000000000009,0.35000000000000003,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,763.7623870372772
1765653438.2455866,0.33,0.68,-0.010000000000000009,0.35000000000000003,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,761.7544133663177
1765653440.2565887,0.33,0.68,-0.010000000000000009,0.35000000000000003,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,759.7434113025665
1765653442.2653995,0.36,0.65,-0.010000000000000009,0.29000000000000004,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,757.7346005439758
1765653444.2744699,0.37,0.64,-0.010000000000000009,0.27,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,755.7255301475525
1765653446.3513796,0.39,0.62,-0.010000000000000009,0.22999999999999998,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,753.6486203670502
1765653448.3618078,0.39,0.62,-0.010000000000000009,0.22999999999999998,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,751.6381921768188
1765653448.663558,0.39,0.63,-0.020000000000000018,0.24,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,751.3364419937134
1765653453.4433482,0.39,0.63,-0.020000000000000018,0.24,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,746.5566518306732
1765653455.456459,0.39,0.63,-0.020000000000000018,0.24,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,744.5435409545898
1765653457.4670744,0.3839464443933975,0.63,-0.013946444393397428,0.24605355560660253,0.013946444393397428,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.028 < 0.005,0,0,742.5329256057739
1765653459.4851933,0.38,0.63,-0.010000000000000009,0.25,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,740.5148067474365
1765653461.4962716,0.38,0.63,-0.010000000000000009,0.25,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,738.50372838974
1765653463.504207,0.36,0.66,-0.020000000000000018,0.30000000000000004,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,736.4957931041718
1765653465.514295,0.28524590163934427,0.7299999999999999,-0.01524590163934425,0.4447540983606556,0.01524590163934425,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.030 < 0.005,0,0,734.4857048988342
1765653467.523748,0.29,0.7299999999999999,-0.019999999999999796,0.4399999999999999,0.019999999999999796,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,732.47625207901
1765653469.5337248,0.29,0.72,-0.010000000000000009,0.43,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,730.4662752151489
1765653471.5444107,0.29,0.72,-0.010000000000000009,0.43,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,728.4555892944336
1765653473.553633,0.29,0.72,-0.010000000000000009,0.43,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,726.4463670253754
1765653475.5644941,0.28,0.7299999999999999,-0.009999999999999787,0.44999999999999984,0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,724.4355058670044
1765653477.5744805,0.2824675324675325,0.7299999999999999,-0.012467532467532294,0.4475324675324674,0.012467532467532294,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.025 < 0.005,0,0,722.4255194664001
1765653479.5838187,0.29,0.7299999999999999,-0.019999999999999796,0.4399999999999999,0.019999999999999796,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,720.4161813259125
1765653481.6141152,0.3,0.7099999999999999,-0.009999999999999787,0.40999999999999986,0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,718.3858847618103
1765653483.6263037,0.3,0.72,-0.020000000000000018,0.42,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,716.3736963272095
1765653485.6377623,0.3,0.72,-0.020000000000000018,0.42,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,714.3622376918793
1765653487.6464746,0.3,0.7099999999999999,-0.009999999999999787,0.40999999999999986,0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,712.3535254001617
1765653489.6570714,0.29,0.72,-0.010000000000000009,0.43,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,710.342928647995
1765653491.6657104,0.2950819672131147,0.72,-0.015081967213114611,0.4249180327868853,0.015081967213114611,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.030 < 0.005,0,0,708.3342895507812
1765653493.6754477,0.29,0.72,-0.010000000000000009,0.43,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,706.3245522975922
1765653498.3029053,0.29,0.72,-0.010000000000000009,0.43,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,701.6970946788788
1765653500.3112383,0.31,0.7000000000000001,-0.010000000000000009,0.39000000000000007,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,699.6887617111206
1765653502.3199565,0.31,0.7000000000000001,-0.010000000000000009,0.39000000000000007,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.020 < 0.005,0,0,697.6800434589386
1765653504.3311625,0.3,0.72,-0.020000000000000018,0.42,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,695.6688375473022
1765653506.341377,0.3,0.72,-0.020000000000000018,0.42,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,HOLD,0.0,HOLD,hold:no_value net_edge=-0.040 < 0.005,0,0,693.6586229801178
