timestamp,slug,market_start_ts,market_end_ts,now_ts,time_remaining,up_bid,up_ask,down_bid,down_ask,up_px,down_px,sum_px,max_sum_price,decision,blocked_maker,order_age,up_filled,down_filled,has_traded,intended_price_up,rounded_price_up,intended_price_down,rounded_price_down,cancel_reason,unwind_method,unwind_price,unwind_result,optimal_size,actual_size,near_resolution_blocked,force_flatten,entry_cutoff_sec,force_flatten_sec,size_chosen,size_max_usd,size_max_final,usd_per_market_cap,straddle_notional_per_share,size_block_reason,test_mode,used_test_preset,test_preset_candidate,min_leg_price,max_leg_price,min_profit_per_share,profit_both,price_bounds_ok,profit_ok,skip_reason,blocked_price_bounds,blocked_low_profit
1765759502.4257653,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759502.4257653,897.5742347240448,0.49,0.5,0.51,0.52,0.49,0.51,1.0,0.98,IDLE,False,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0.0,,0,0,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,False,SKIP_LOW_PROFIT: Profit 0.000 < 0.02,False,True
1765759505.4084868,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759505.4084868,894.5915131568909,0.45,0.46,0.54,0.55,0.45,0.54,0.99,0.98,IDLE,False,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0.0,,0,0,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.010000000000000009,True,False,SKIP_LOW_PROFIT: Profit 0.010 < 0.02,False,True
1765759508.3041742,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759508.3041742,891.6958258152008,0.44,0.46,0.54,0.56,0.45,0.55,1.0,0.98,IDLE,False,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0.0,,0,0,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,False,SKIP_LOW_PROFIT: Profit 0.000 < 0.02,False,True
1765759511.1900184,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759511.1900184,888.809981584549,0.42,0.43,0.57,0.58,0.42,0.57,0.99,0.98,IDLE,False,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0.0,,0,0,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.010000000000000009,True,False,SKIP_LOW_PROFIT: Profit 0.010 < 0.02,False,True
1765759514.0923495,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759514.0923495,885.9076504707336,0.43,0.45,0.55,0.57,0.44,0.56,1.0,0.98,IDLE,False,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0.0,,0,0,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,False,SKIP_LOW_PROFIT: Profit 0.000 < 0.02,False,True
1765759516.893551,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759516.893551,883.1064488887787,0.44,0.45,0.54,0.55,0.0,0.0,0.0,0.0,ONE_LEG_FILLED,False,0.0,False,True,False,0.44,0.44,0.54,0.54,,,0.0,,30,30,False,False,180,60,0,0,30,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.020000000000000018,True,True,,False,False
1765759520.5575197,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759520.5575197,879.4424803256989,0.51,0.52,0.48,0.5,0.0,0.0,0.0,0.0,ONE_LEG_FILLED,False,0.0,False,True,False,0.0,0.0,0.0,0.0,,,0.0,,30,30,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,True,,False,False
1765759521.6732364,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759521.6732364,878.3267636299133,0.5,0.52,0.48,0.49,0.0,0.0,0.0,0.0,ONE_LEG_FILLED,False,0.0,False,True,False,0.0,0.0,0.0,0.0,,,0.0,,30,30,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,True,,False,False
1765759522.833909,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759522.833909,877.166090965271,0.51,0.52,0.48,0.49,0.0,0.0,0.0,0.0,ONE_LEG_FILLED,False,0.0,False,True,False,0.0,0.0,0.0,0.0,,,0.0,,30,30,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,True,,False,False
1765759523.9906628,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759523.9906628,876.0093371868134,0.51,0.52,0.48,0.49,0.0,0.0,0.0,0.0,ONE_LEG_FILLED,False,0.0,False,True,False,0.0,0.0,0.0,0.0,,,0.0,,30,30,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,True,,False,False
1765759525.1372805,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759525.1372805,874.8627195358276,0.51,0.52,0.48,0.49,0.0,0.0,0.0,0.0,ONE_LEG_FILLED,False,0.0,False,True,False,0.0,0.0,0.0,0.0,,,0.0,,30,30,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,True,,False,False
1765759526.2985668,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759526.2985668,873.7014331817627,0.51,0.52,0.48,0.49,0.0,0.0,0.0,0.0,ONE_LEG_FILLED,False,0.0,False,True,False,0.0,0.0,0.0,0.0,,,0.0,,30,30,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,True,,False,False
1765759527.593856,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759527.593856,872.4061439037323,0.5,0.51,0.49,0.5,0.0,0.0,0.0,0.0,DONE,False,0.0,False,True,False,0.0,0.0,0.0,0.0,,taker_fallback,0.49,SUCCESS,30,30,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,True,,False,False
1765759530.0269597,btc-updown-15m-1765759500,1765759500.0,1765760400.0,1765759530.0269597,869.9730403423309,0.51,0.52,0.48,0.49,0.0,0.0,0.0,0.0,DONE,False,0.0,False,True,False,0.0,0.0,0.0,0.0,,taker_fallback,0.49,SUCCESS,30,30,False,False,180,60,0,0,0,30.0,0.0,,False,False,0,0.1,0.9,0.02,0.0,True,True,,False,False
