timestamp,p_yes,p_no,edge,vol,mispricing,q_yes,q_no,imbalance,cost_yes,cost_no,exposure,locked_profit,profit_if_up,profit_if_down,worst_case_pnl,decision_side,decision_usd,act,reason,scale_cooldown,order_in_flight,time_remaining
1765649104.3654687,0.68,0.34,-0.020000000000000018,0.34,0.020000000000000018,0.0,0.0,0.0,0.0,4.9986999999999995,0.0,-0.0,0.0,0.0,0.0,BUY_NO,5.0,BUY_NO,enter:cheap_no e=-0.0200,0,0,595.6345312595367
1765649106.421757,0.68,0.34,-0.020000000000000018,0.34,0.020000000000000018,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,HOLD,0.0,HOLD,hold:cooldown_live,0,0,593.5782430171967
1765649108.437689,0.6866354861180216,0.33,-0.01663548611802157,0.3566354861180216,0.01663548611802157,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,BUY_NO,5.0,BUY_NO,[MOMO] conviction=NO action=BUY_NO reason=add_on e=-0.0166,0,0,591.5623109340668
1765649110.4496713,0.68,0.33,-0.010000000000000009,0.35000000000000003,0.010000000000000009,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,BUY_NO,5.0,BUY_NO,[MOMO] conviction=NO action=BUY_NO reason=add_on e=-0.0100,0,0,589.5503287315369
1765649112.4645069,0.67,0.34,-0.010000000000000009,0.33,0.010000000000000009,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,BUY_NO,5.0,BUY_NO,[MOMO] conviction=NO action=BUY_NO reason=add_on e=-0.0100,0,0,587.5354931354523
1765649114.4816494,0.68,0.34,-0.020000000000000018,0.34,0.020000000000000018,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,BUY_NO,5.0,BUY_NO,[MOMO] conviction=NO action=BUY_NO reason=add_on e=-0.0200,0,0,585.5183506011963
1765649116.50636,0.68,0.34,-0.020000000000000018,0.34,0.020000000000000018,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,BUY_NO,5.0,BUY_NO,[MOMO] conviction=NO action=BUY_NO reason=add_on e=-0.0200,0,0,583.4936399459839
1765649118.5221736,0.66,0.36,-0.020000000000000018,0.30000000000000004,0.020000000000000018,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,BUY_NO,5.0,BUY_NO,[MOMO] conviction=NO action=BUY_NO reason=add_on e=-0.0200,0,0,581.4778263568878
1765649120.5354316,0.66,0.36,-0.020000000000000018,0.30000000000000004,0.020000000000000018,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,BUY_NO,5.0,BUY_NO,[MOMO] conviction=NO action=BUY_NO reason=add_on e=-0.0200,0,0,579.4645683765411
1765649122.5487072,0.66,0.36,-0.020000000000000018,0.30000000000000004,0.020000000000000018,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,BUY_NO,5.0,BUY_NO,[MOMO] conviction=NO action=BUY_NO reason=add_on e=-0.0200,0,0,577.4512927532196
1765649124.5760288,0.66,0.36,-0.020000000000000018,0.30000000000000004,0.020000000000000018,0.0,13.51,13.51,0.0,4.9986999999999995,4.9986999999999995,-4.9986999999999995,-4.9986999999999995,8.5113,-4.9986999999999995,BUY_NO,5.0,BUY_NO,[MOMO] conviction=NO action=BUY_NO reason=add_on e=-0.0200,0,0,575.4239711761475
