timestamp,p_yes,p_no,edge,vol,mispricing,q_yes,q_no,imbalance,cost_yes,cost_no,exposure,locked_profit,profit_if_up,profit_if_down,worst_case_pnl,decision_side,decision_usd,act,reason,scale_cooldown,order_in_flight
1765567552.6599941,0.9800000000000001,0.03,-0.010000000000000009,0.9500000000000001,0.010000000000000009,0.0,0.0,0.0,0.0,3.0,0.0,-0.0,0.0,0.0,0.0,BUY_NO,3.0,BUY_NO,enter:cheap_no e=-0.0100,0,0
1765567554.9030428,0.9800000000000001,0.03,-0.010000000000000009,0.9500000000000001,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:cooldown_live,0,0
1765567556.9112484,0.9800000000000001,0.03,-0.010000000000000009,0.9500000000000001,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567558.9211059,0.9800000000000001,0.03,-0.010000000000000009,0.9500000000000001,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567560.9295204,0.9800000000000001,0.03,-0.010000000000000009,0.9500000000000001,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567562.9387798,0.9800000000000001,0.03,-0.010000000000000009,0.9500000000000001,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567564.947598,0.96,0.05,-0.010000000000000009,0.9099999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567566.9573402,0.96,0.05,-0.010000000000000009,0.9099999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567568.9765668,0.96,0.05,-0.010000000000000009,0.9099999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567570.986753,0.96,0.05,-0.010000000000000009,0.9099999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567572.9959064,0.96,0.05,-0.010000000000000009,0.9099999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567575.0050373,0.96,0.05,-0.010000000000000009,0.9099999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567577.0162702,0.96,0.05,-0.010000000000000009,0.9099999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567579.0290346,0.96,0.05,-0.010000000000000009,0.9099999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567581.0390098,0.96,0.05,-0.010000000000000009,0.9099999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567583.047902,0.97,0.04863497827637637,-0.01863497827637639,0.9213650217236236,0.01863497827637639,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567585.0676377,0.96,0.06,-0.020000000000000018,0.8999999999999999,0.020000000000000018,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567587.076604,0.95,0.06,-0.010000000000000009,0.8899999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567589.087518,0.96,0.08,-0.040000000000000036,0.88,0.040000000000000036,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567591.1071088,0.95,0.06855575868372944,-0.018555758683729495,0.8814442413162705,0.018555758683729495,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567593.1156168,0.95,0.06,-0.010000000000000009,0.8899999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567595.126377,0.95,0.06,-0.010000000000000009,0.8899999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567597.13642,0.93,0.08,-0.010000000000000009,0.8500000000000001,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567599.1460812,0.9399999999999998,0.07,-0.009999999999999787,0.8699999999999999,0.009999999999999787,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567601.156456,0.9399999999999998,0.07,-0.009999999999999787,0.8699999999999999,0.009999999999999787,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567603.1659415,0.95,0.06,-0.010000000000000009,0.8899999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567605.1789503,0.95,0.06,-0.010000000000000009,0.8899999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567607.1871023,0.96,0.06,-0.020000000000000018,0.8999999999999999,0.020000000000000018,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567609.1949224,0.96,0.05585106382978723,-0.015851063829787293,0.9041489361702127,0.015851063829787293,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567611.2044423,0.95,0.07,-0.020000000000000018,0.8799999999999999,0.020000000000000018,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567613.211964,0.9399999999999998,0.07,-0.009999999999999787,0.8699999999999999,0.009999999999999787,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567615.22054,0.9399999999999998,0.07958351294890076,-0.019583512948900594,0.8604164870510991,0.019583512948900594,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567617.2290478,0.95,0.07,-0.020000000000000018,0.8799999999999999,0.020000000000000018,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567619.2360485,0.93,0.08,-0.010000000000000009,0.8500000000000001,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567621.2448013,0.93,0.08,-0.010000000000000009,0.8500000000000001,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567623.2541661,0.95,0.060296313311128974,-0.010296313311128902,0.889703686688871,0.010296313311128902,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567625.2634816,0.95,0.06,-0.010000000000000009,0.8899999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567627.2719452,0.96,0.06,-0.020000000000000018,0.8999999999999999,0.020000000000000018,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567629.2795997,0.9800000000000001,0.05,-0.030000000000000027,0.93,0.030000000000000027,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567631.288106,0.97,0.04,-0.010000000000000009,0.9299999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567633.2990959,0.9800000000000001,0.03529411764705882,-0.015294117647058902,0.9447058823529413,0.015294117647058902,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567635.309198,0.9800000000000001,0.0375,-0.01750000000000007,0.9425000000000001,0.01750000000000007,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567637.3501024,0.97,0.04,-0.010000000000000009,0.9299999999999999,0.010000000000000009,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567639.426668,0.9800000000000001,0.04,-0.020000000000000018,0.9400000000000001,0.020000000000000018,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567641.437668,0.9800000000000001,0.04,-0.020000000000000018,0.9400000000000001,0.020000000000000018,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567643.4452288,0.9800000000000001,0.03333333333333333,-0.01333333333333342,0.9466666666666668,0.01333333333333342,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567645.4644313,0.9800000000000001,0.03380281690140845,-0.01380281690140861,0.9461971830985917,0.01380281690140861,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
1765567647.5178204,0.97,0.05433376455368693,-0.024333764553686965,0.9156662354463131,0.024333764553686965,0.0,50.0,50.0,0.0,3.0,3.0,-3.0,-3.0,47.0,-3.0,HOLD,0.0,HOLD,hold:min_ticket_yes>3.00,0,0
