time_utc,timestamp,market_offset,side,price,size,usd_volume,market_slug,local_q_yes,local_q_no,local_exposure,local_locked_pnl,GLOBAL_EXPOSURE_ALL_MKTS
2025-12-12T19:55:23,1765569323,0,YES,0.8799999964799989,11.363633,9.999997,btc-updown-15m-1765568700,11.363633,0,9.999997,-9.999997,9.999997
2025-12-12T19:55:23,1765569323,0,NO,0.1326099706744868,341.0,45.22,btc-updown-15m-1765568700,11.363633,341.0,55.219997,-43.856364,55.219997
2025-12-12T19:55:23,1765569323,0,YES,0.8599999991399997,23.255807,19.999994,btc-updown-15m-1765568700,34.61944,341.0,75.219991,-40.600550999999996,75.219991
2025-12-12T19:55:23,1765569323,0,NO,0.13,20.83,2.7079,btc-updown-15m-1765568700,34.61944,361.83,77.92789099999999,-43.30845099999999,77.92789099999999
2025-12-12T19:55:23,1765569323,0,YES,0.87,184.17,160.22789999999998,btc-updown-15m-1765568700,218.78943999999998,361.83,238.15579099999997,-19.36635099999998,238.15579099999997
2025-12-12T19:55:25,1765569325,0,YES,0.86,1.96,1.6856,btc-updown-15m-1765568700,220.74944,361.83,239.84139099999996,-19.091950999999966,239.84139099999996
2025-12-12T19:55:27,1765569327,0,YES,0.88,20.0,17.6,btc-updown-15m-1765568700,240.74944,361.83,257.44139099999995,-16.69195099999996,257.44139099999995
2025-12-12T19:55:27,1765569327,0,NO,0.12,55.0,6.6,btc-updown-15m-1765568700,240.74944,416.83,264.041391,-23.291950999999983,264.041391
2025-12-12T19:55:27,1765569327,0,NO,0.12,55.0,6.6,btc-updown-15m-1765568700,240.74944,471.83,270.641391,-29.891951000000006,270.641391
2025-12-12T19:55:27,1765569327,0,YES,0.87,5.0,4.35,btc-updown-15m-1765568700,245.74944,471.83,274.991391,-29.24195100000003,274.991391
2025-12-12T19:55:27,1765569327,0,YES,0.88,10.0,8.8,btc-updown-15m-1765568700,255.74944,471.83,283.79139100000003,-28.04195100000004,283.79139100000003
2025-12-12T19:55:27,1765569327,0,YES,0.88,200.0,176.0,btc-updown-15m-1765568700,455.74944,471.83,459.79139100000003,-4.04195100000004,459.79139100000003
2025-12-12T19:55:27,1765569327,0,NO,0.12,36.0,4.32,btc-updown-15m-1765568700,455.74944,507.83,464.111391,-8.361951000000033,464.111391
2025-12-12T19:55:27,1765569327,0,NO,0.12,15.0,1.7999999999999998,btc-updown-15m-1765568700,455.74944,522.8299999999999,465.91139100000004,-10.161951000000045,465.91139100000004
2025-12-12T19:55:27,1765569327,0,YES,0.88,11.0,9.68,btc-updown-15m-1765568700,466.74944,522.8299999999999,475.59139100000004,-8.841951000000051,475.59139100000004
2025-12-12T19:55:27,1765569327,0,NO,0.13999999481999995,142.857141,19.999999000000003,btc-updown-15m-1765568700,466.74944,665.6871409999999,495.59139000000005,-28.841950000000054,495.59139000000005
2025-12-12T19:55:29,1765569329,0,YES,0.88,200.0,176.0,btc-updown-15m-1765568700,666.74944,665.6871409999999,671.59139,-5.9042490000001635,671.59139
2025-12-12T19:55:29,1765569329,0,NO,0.12,55.0,6.6,btc-updown-15m-1765568700,666.74944,720.6871409999999,678.1913900000001,-11.44195000000002,678.1913900000001
2025-12-12T19:55:29,1765569329,0,YES,0.88,10.0,8.8,btc-updown-15m-1765568700,676.74944,720.6871409999999,686.99139,-10.241949999999974,686.99139
2025-12-12T19:55:29,1765569329,0,YES,0.88,7.0,6.16,btc-updown-15m-1765568700,683.74944,720.6871409999999,693.15139,-9.401949999999943,693.15139
2025-12-12T19:55:29,1765569329,0,NO,0.12999997497499857,30.769229,3.9999990000000003,btc-updown-15m-1765568700,683.74944,751.4563699999999,697.151389,-13.401948999999945,697.151389
2025-12-12T19:55:29,1765569329,0,YES,0.8799999964799989,22.727266,19.999994,btc-updown-15m-1765568700,706.476706,751.4563699999999,717.151383,-10.674676999999974,717.151383
2025-12-12T19:55:29,1765569329,0,YES,0.88,15.0,13.2,btc-updown-15m-1765568700,721.476706,751.4563699999999,730.351383,-8.87467700000002,730.351383
2025-12-12T19:55:29,1765569329,0,YES,0.88,20.0,17.6,btc-updown-15m-1765568700,741.476706,751.4563699999999,747.9513830000001,-6.474677000000042,747.9513830000001
2025-12-12T19:55:29,1765569329,0,YES,0.8799999976963346,17.363633,15.279997,btc-updown-15m-1765568700,758.8403390000001,751.4563699999999,763.2313800000001,-11.77501000000018,763.2313800000001
2025-12-12T19:55:29,1765569329,0,NO,0.12,15.0,1.7999999999999998,btc-updown-15m-1765568700,758.8403390000001,766.4563699999999,765.03138,-6.191040999999927,765.03138
2025-12-12T19:55:29,1765569329,0,YES,0.879999998836748,34.386358,30.259995,btc-updown-15m-1765568700,793.2266970000001,766.4563699999999,795.291375,-28.835005000000137,795.291375
2025-12-12T19:55:31,1765569331,0,NO,0.1299999300632845,12.153845,1.5799990000000002,btc-updown-15m-1765568700,793.2266970000001,778.6102149999999,796.8713740000001,-18.261159000000134,796.8713740000001
2025-12-12T19:55:31,1765569331,0,NO,0.12999999505999993,153.846152,19.999998999999995,btc-updown-15m-1765568700,793.2266970000001,932.4563669999999,816.8713730000001,-23.644676000000004,816.8713730000001
2025-12-12T19:55:31,1765569331,0,YES,0.88,15.0,13.2,btc-updown-15m-1765568700,808.2266970000001,932.4563669999999,830.0713730000001,-21.84467600000005,830.0713730000001
2025-12-12T19:55:31,1765569331,0,YES,0.88,200.0,176.0,btc-updown-15m-1765568700,1008.2266970000001,932.4563669999999,1006.0713730000001,-73.61500600000022,1006.0713730000001
2025-12-12T19:55:33,1765569333,0,YES,0.88,42.14,37.0832,btc-updown-15m-1765568700,1050.3666970000002,932.4563669999999,1043.154573,-110.69820600000014,1043.154573
2025-12-12T19:55:33,1765569333,0,NO,0.13,51.0,6.63,btc-updown-15m-1765568700,1050.3666970000002,983.4563669999999,1049.7845730000001,-66.32820600000025,1049.7845730000001
2025-12-12T19:55:33,1765569333,0,YES,0.88,15.0,13.2,btc-updown-15m-1765568700,1065.3666970000002,983.4563669999999,1062.9845730000002,-79.5282060000003,1062.9845730000002
2025-12-12T19:55:33,1765569333,0,YES,0.87,4.5977,3.999999,btc-updown-15m-1765568700,1069.9643970000002,983.4563669999999,1066.984572,-83.52820500000018,1066.984572
2025-12-12T19:55:33,1765569333,0,YES,0.87,25.0,21.75,btc-updown-15m-1765568700,1094.9643970000002,983.4563669999999,1088.734572,-105.27820500000018,1088.734572
2025-12-12T19:55:33,1765569333,0,NO,0.14,17.0,2.3800000000000003,btc-updown-15m-1765568700,1094.9643970000002,1000.4563669999999,1091.1145720000002,-90.6582050000003,1091.1145720000002
2025-12-12T19:55:33,1765569333,0,YES,0.8699999987835003,49.321838,42.909999,btc-updown-15m-1765568700,1144.2862350000003,1000.4563669999999,1134.0245710000002,-133.56820400000026,1134.0245710000002
2025-12-12T19:55:35,1765569335,0,NO,0.14999999399999994,133.333332,19.999999000000003,btc-updown-15m-1765568700,1144.2862350000003,1133.789699,1154.02457,-20.234871000000112,1154.02457
