timestamp,dt,slug,state,best_bid_yes,best_ask_yes,best_bid_no,best_ask_no,q_yes,q_no,fills_yes,fills_no,exposure,mtm_pnl,lock_pnl,decision,time_rem,btc_price,btc_delta,btc_conf,btc_bias,fair_yes,fair_no
1765744219,2025-12-14 21:30:19,btc-updown-15m-1765744200,IDLE,0.44,0.45,0.55,0.56,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,882,0.0,0.0,0.0,NEUTRAL,0.449,0.551
1765744221,2025-12-14 21:30:21,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.56,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,878,0.0,0.0,0.0,NEUTRAL,0.431,0.57
1765744225,2025-12-14 21:30:25,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.56,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,876,0.0,0.0,0.0,NEUTRAL,0.432,0.568
1765744229,2025-12-14 21:30:29,btc-updown-15m-1765744200,IDLE,0.41,0.43,0.57,0.58,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,870,0.0,0.0,0.0,NEUTRAL,0.43,0.579
1765744233,2025-12-14 21:30:33,btc-updown-15m-1765744200,IDLE,0.42,0.43,0.57,0.59,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,867,0.0,0.0,0.0,NEUTRAL,0.42,0.575
1765744236,2025-12-14 21:30:36,btc-updown-15m-1765744200,IDLE,0.37,0.38,0.62,0.63,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,864,0.0,0.0,0.0,NEUTRAL,0.371,0.626
1765744240,2025-12-14 21:30:40,btc-updown-15m-1765744200,IDLE,0.33,0.34,0.67,0.69,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,861,0.0,0.0,0.0,NEUTRAL,0.332,0.686
1765744244,2025-12-14 21:30:44,btc-updown-15m-1765744200,IDLE,0.32,0.33,0.67,0.68,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,856,0.0,0.0,0.0,NEUTRAL,0.325,0.675
1765744248,2025-12-14 21:30:48,btc-updown-15m-1765744200,IDLE,0.33,0.34,0.66,0.67,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,853,0.0,0.0,0.0,NEUTRAL,0.335,0.665
1765744250,2025-12-14 21:30:50,btc-updown-15m-1765744200,IDLE,0.32,0.33,0.67,0.68,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,849,0.0,0.0,0.0,NEUTRAL,0.33,0.67
1765744254,2025-12-14 21:30:54,btc-updown-15m-1765744200,IDLE,0.32,0.33,0.67,0.68,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,846,0.0,0.0,0.0,NEUTRAL,0.33,0.67
1765744259,2025-12-14 21:30:59,btc-updown-15m-1765744200,IDLE,0.34,0.35,0.65,0.66,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,841,0.0,0.0,0.0,NEUTRAL,0.342,0.658
1765744263,2025-12-14 21:31:03,btc-updown-15m-1765744200,IDLE,0.33,0.34,0.66,0.67,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,837,0.0,0.0,0.0,NEUTRAL,0.33,0.669
1765744266,2025-12-14 21:31:06,btc-updown-15m-1765744200,IDLE,0.33,0.35,0.65,0.67,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,834,0.0,0.0,0.0,NEUTRAL,0.332,0.667
